web-scraper-order,web-scraper-start-url,Product_Name,Product_Prices,Product_Sold
"1714669991-43","https://www.ebay.com/b/Mens-Fitness-Running-Shoes/158952/bn_1965202","Brooks Running Shoes Mens Glycerin 19 Running Sport Training Jogging DNA Loft 42","IDR1,188,108.60","Only 1 left!"
"1714669991-44","https://www.ebay.com/b/Mens-Fitness-Running-Shoes/158952/bn_1965202","adidas alphabounce + sustainable bounce sneaker sneakers athletic shoes","IDR861,400.27","172 sold"
"1714669991-45","https://www.ebay.com/b/Mens-Fitness-Running-Shoes/158952/bn_1965202","SNORS LACES ROUND 60-150cm 3mm polyester sports shoes sneakers sneakers","IDR60,137.77","180 sold"
"1714669991-46","https://www.ebay.com/b/Mens-Fitness-Running-Shoes/158952/bn_1965202","Adidas Jeans Originals Mens Shoes Trainers Uk Size 7 - 11   CQ2769  Grey blue","IDR1,128,198.50","51 sold"
"1714669991-47","https://www.ebay.com/b/Mens-Fitness-Running-Shoes/158952/bn_1965202","SKECHERS MENS SHOES GREY WALKING MEMORY FOAM SOFT GYM SKETCHERS TRAINERS","IDR1,006,492.50",""
"1714669991-48","https://www.ebay.com/b/Mens-Fitness-Running-Shoes/158952/bn_1965202","Elastic rubber laces round 120 cm quick release quick lacing system","IDR120,447.85","209 sold"
"1714669991-49","https://www.ebay.com/b/Mens-Fitness-Running-Shoes/158952/bn_1965202","adidas Dragon Originals Mens Shoes Trainers Size 7 - 12 G50922  Blue Bird  White","IDR1,047,598.50","60 sold"
"1714669991-50","https://www.ebay.com/b/Mens-Fitness-Running-Shoes/158952/bn_1965202","Mizuno Unisex Wave Prophecy 11 Running Shoes Trainers Jogging Sports - Black","IDR2,208,064.52",""
"1714669991-51","https://www.ebay.com/b/Mens-Fitness-Running-Shoes/158952/bn_1965202","Adidas Yeezy Boost 700 V2-EF2829 Static Kanye West shoes Men's","IDR3,693,548.39",""
"1714669991-52","https://www.ebay.com/b/Mens-Fitness-Running-Shoes/158952/bn_1965202","Merrell Mens Speed Strike GORE-TEX Walking Shoes Trainers Outdoor Hiking - Black","IDR1,468,935.00",""
"1714669991-53","https://www.ebay.com/b/Mens-Fitness-Running-Shoes/158952/bn_1965202","PUMA Men's R78 Sneakers","","104 sold"
"1714669991-54","https://www.ebay.com/b/Mens-Fitness-Running-Shoes/158952/bn_1965202","adidas Mens Cloud Ultra 4D Trainers Sneakers Sports Shoes Runners Running","IDR2,015,000.00","4 watching"
